Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
326;8;24;Peer Kluge;D;2;0;0;
327;8;31;Fanol Perdedaj;ALB;0;0;0;
328;8;20;Adrian Ramos;KOL;31;16;6;
329;8;11;Sami Allagui;TUN;29;9;3;
330;8;33;Sandro Wagner;D;24;2;0;
331;8;14;Ben Sahar;ISR;0;0;0;
332;11;1;Ron-Robert Zieler;D;33;0;0;
333;11;14;Markus Miller;D;0;0;0;
334;11;21;Konstantin Fuhry;D;0;0;0;
335;11;4;Hiroki Sakai;JAP;26;1;0;
336;11;19;Christian Schulz;D;26;1;0;
337;11;25;Marcelo;BRA;23;0;0;
338;11;5;Salif Sané;F/SEN;19;2;0;
339;11;18;Sebastien Pocognoli;B;19;0;0;
340;11;24;Christian Pander;D;7;0;3;
341;11;22;Frantisek Rajtoral;CZE;6;0;0;
342;11;3;Karim Haggui;TUN;3;0;0;
343;11;6;Steven Cherundolo;USA;2;0;0;
344;11;23;Christopher Avevor;D;1;0;0;
345;11;20;Felipe;BRA;0;0;0;
346;11;30;Florian Ballas;D;0;0;0;
347;11;33;Yannik Schulze;D;0;0;0;
348;11;35;Ali Gökdemir;TUR/D;0;0;0;
349;11;2;Leon Andreasen;DEN;30;3;3;
350;11;7;Edgar Prib;D;30;1;4;
351;11;28;Lars Stindl;D;30;3;2;
352;11;32;Leonardo Bittencourt;D;30;4;4;
353;11;10;Szabolcs Huszti;HUN;29;9;7;
354;11;8;Manuel Schmiedebach;D;23;1;2;
355;11;15;Andre Hoffmann;D;22;0;1;
356;11;34;Tim Dierßen;D;2;0;0;
357;11;16;Franca;BRA;0;0;0;
358;11;22;Adrian Nikci;CH;0;0;0;
359;11;13;Jan Schlaudraff;D;21;1;1;
360;11;39;Mame Diouf;SEN;19;8;3;
361;11;9;Artur Sobiech;PL;17;3;0;
362;11;11;Didier Konan Ya;CIV;15;3;1;
363;11;16;Artjoms Rudnevs;LAT;15;3;3;
364;11;38;Valmir Sulejmani;D;5;0;1;
365;11;27;Deniz Kadah;TUR;3;0;0;
366;11;40;Almir Kasumovic;BOS;0;0;0;
367;13;20;Raphael Wolf;D;20;0;0;
368;13;1;Sebastian Mielitz;D;13;0;0;
369;13;30;Richard Strebinger;A;0;0;0;
370;13;3;Luca Caldirola;I;32;0;1;
371;13;23;Theodor Gebre Selassie;CZE;28;1;1;
372;13;15;Sebastian Prödl;A;26;2;1;
373;13;5;Assani Lukimya;CGO;23;0;0;
374;13;2;Santiago Garcia;ARG;21;3;1;
375;13;8;Clemens Fritz;D;21;0;3;
376;13;13;Lukas Schmitz;D;3;0;0;
377;13;4;Mateo Pavlovi?;CRO;0;0;0;
378;13;29;Cimo-Patric Röcker;D;0;0;0;
379;13;0;Florian Hartherz;D;0;0;0;
380;13;14;Aaron Hunt;D;30;7;9;
381;13;6;Cedrick Makiadi;D/COD;29;1;1;
382;13;16;Zlatko Junuzovic;A;25;2;4;
383;13;18;Felix Kroos;D;19;1;0;
384;13;44;Philipp Bargfrede;D;19;3;0;
385;13;17;Aleksandar Ignjovski;SER;14;0;0;
386;13;10;Mehmet Ekici;TUR/D;11;1;0;
387;13;7;Ludovic Obraniak;PL/F;10;1;0;
388;13;32;Özkan Yildirim;D;10;0;0;
389;13;25;Tom Trybull;D;2;0;0;
390;13;31;Predrag Stevanovic;SER;0;0;0;
391;13;34;Aleksandar Stevanovic;SER/D;0;0;0;
392;13;38;Julian von Haacke;D;0;0;0;
393;13;11;Eljero Elia;NL;32;4;3;
394;13;24;Nils Petersen;D;27;7;2;
395;13;9;Franco Di Santo;ARG;22;4;4;
396;13;33;Martin Kobylanski;D/PL;8;0;0;
397;13;0;Davie Selke;D;3;0;0;
398;13;22;Melvyn Lorenzen;D;2;0;0;
399;13;28;Levent Aycicek;D;2;1;0;
400;13;0;Marko Arnautovic;A;1;0;0;
401;13;0;Denni Avdic;SWE;0;0;0;
402;13;0;Niclas Füllkrug;D;0;0;0;
403;13;0;Joseph Akpala;NGA;0;0;0;
404;12;1;Kevin Trapp;D;33;0;0;
405;12;30;Felix Wiedwald;D;1;0;0;
406;12;32;Aykut Özer;D;0;0;0;
407;12;5;Carlos Zambrano;PER;29;0;0;
408;12;24;Sebastian Jung;D;29;0;7;
409;12;15;Constant Djakpa;CIV;21;0;0;
410;12;6;Bastian Oczipka;D;20;0;1;
411;12;23;Anderson;BRA;15;0;2;
412;12;39;Alexander Madlung;D;15;2;0;
413;12;17;Stephan Schröck;D;11;0;0;
414;12;22;Stefano Celozzi;D;10;0;0;
415;12;36;Marc-Oliver Kempf;D;3;0;0;
416;12;33;Alexander Hien;D;0;0;0;
417;12;34;Erik Wille;D;0;0;0;
418;12;4;Marco Russ;D;28;3;2;
419;12;16;Stefan Aigner;D;27;4;7;
420;12;18;Johannes Flum;D;26;3;2;
421;12;25;Tranquillo Barnetta;CH;22;1;3;
422;12;14;Alexander Meier;D;21;8;2;
423;12;7;Jan Rosenthal;D;18;2;1;
424;12;20;Sebastian Rode;D;17;0;0;
425;12;27;Pirmin Schwegler;CH;16;0;0;
426;12;8;Takashi Inui;JAP;14;0;0;
427;12;13;Martin Lanig;D;14;1;1;
428;12;21;Marc Stendera;D;5;0;0;
429;12;26;Tobias Weis;D;4;0;0;
430;12;19;Marvin Bakalorz;D;3;0;0;
431;12;28;Sonny Kittel;D;0;0;0;
432;12;9;Joselu;E;23;8;2;
433;12;10;Vaclav Kadlec;CZE;21;5;3;
434;12;11;Srdjan Lakic;CRO;8;0;0;
435;12;37;Luca Waldschmidt;D;0;0;0;
436;17;1;Oliver Baumann;D;33;0;0;
437;17;19;Daniel Batz;D;0;0;0;
438;17;21;Alexander Schwolow;D;0;0;0;
439;17;28;Matthias Ginter;D;33;0;0;
440;17;25;Oliver Sorg;D;30;2;2;
441;17;30;Christian Günter;D;28;0;1;
442;17;2;Pavel Krmas;CZE;18;1;1;
443;17;41;Immanuel Höhn;D;18;0;0;
444;17;3;Fallou Diagné;SEN;12;0;0;
445;17;24;Mensur Mujdza;BOS;7;0;0;
446;17;0;Tim Schraml;D;1;0;0;
447;17;5;Christopher Jullien;F;0;0;0;
448;17;6;Vegar Eggen Hedenstad;NOR;0;0;0;
449;17;4;Gelson Fernandes;CH;29;1;2;
450;17;17;Jonathan Schmid;F;28;3;8;
451;17;28;Julian Schuster;D;26;3;1;
452;17;7;Vladimír Darida;CZE;22;3;5;
453;17;36;Felix Klaus;D;20;5;4;
454;17;37;Sebastian Kerk;D;19;0;0;
455;17;20;Francis Coquelin;F;16;0;0;
456;17;27;Nicolas Höfler;D;14;2;1;
457;17;8;Vaclav Pilar;CZE;6;0;0;
458;17;11;Hendrick Zuck;D;2;0;0;
459;17;29;Tim Albutat;D;1;0;0;
460;17;0;Nicolai Lorenzoni;D;1;0;0;
461;17;0;Maximilian Philipp;D;1;0;0;
462;17;48;Erich Sautner;D;0;0;0;
463;17;14;Admir Mehmedi;CH;32;12;4;
464;17;31;Karim Guedé;SVK;19;3;0;
465;17;35;Sebastian Freis;D;16;2;4;
466;17;9;Mike Hanke;D;15;2;0;
467;17;15;Philipp Zulechner;A;6;0;0;
468;17;22;Marco Terrazzino;D;2;1;0;
469;17;32;Charles Elie Laprevotte;F;1;0;0;
470;17;0;Garra Dembélé;MLI/F;0;0;0;
471;15;1;Sven Ulreich;D;30;0;0;
472;15;22;Thorsten Kirschbaum;D;3;0;0;
473;15;3;Daniel Schwaab;D;32;0;1;
474;15;24;Antonio Rüdiger;D;29;2;0;
475;15;2;Gotoku Sakai;JAP;27;0;2;
476;15;34;Konstantin Rausch;D;20;2;1;
477;15;6;Georg Niedermeier;D;17;1;0;
478;15;5;Karim Haggui;TUN;6;1;0;
479;15;0;Serdar Tasci;D;1;0;0;
480;15;0;Cristian Molinaro;I;1;0;0;
481;15;0;Benedikt Röcker;D;1;0;0;
482;15;0;Philipp Mwene;A;0;0;0;
483;15;7;Martin Harnik;A/D;30;10;2;
484;15;16;Ibrahima Traore;GUI/F;30;2;8;
485;15;44;Alexandru Maxim;ROM;28;7;9;
486;15;20;Christian Gentner;D;27;4;4;
487;15;15;Arthur Boka;CIV;24;1;0;
488;15;8;Moritz Leitner;A;21;1;3;
489;15;0;William Kvist;DEN;12;0;0;
490;15;28;Rani Khedira;D;9;0;0;
491;15;11;Carlos Gruezo;ECU;7;0;0;
492;15;10;Daniel Didavi;D;6;1;1;
493;15;23;Sercan Sararer;E;6;0;0;
494;15;0;Robin Yalcin;D;3;0;0;
495;15;13;Patrick Funk;D;0;0;0;
496;15;14;Marco Rojas;NZL;0;0;0;
497;15;0;Johan Audel;F;0;0;0;
498;15;0;Tunay Torun;TUR;0;0;0;
499;15;19;Timo Werner;D;29;4;5;
500;15;9;Vedad Ibisevic;BOS;26;10;3;
501;15;18;Cacau;D/BRA;20;1;2;
502;15;25;Mohammed Abdellaoue;NOR;12;1;1;
503;16;15;René Adler;D;29;0;0;
504;16;1;Jaroslav Drobny;CZE;4;0;0;
505;16;29;Florian Stritzel;D;0;0;0;
506;16;30;Sven Neuhaus;D;0;0;0;
507;16;4;Heiko Westermann;D;29;3;2;
508;16;5;Johan Djourou;CH;22;0;0;
509;16;7;Marcell Jansen;D;20;1;4;
510;16;2;Dennis Diekmeier;D;19;0;2;
511;16;28;Jonathan Tah;D;16;0;1;
512;16;3;Michael Mancienne;ENG;11;0;0;
513;16;16;Lasse Sobiech;D;10;1;0;
514;16;17;Andreas Lam;D/CHN;9;1;0;
515;16;24;Slobodan Rajkovic;SER;2;0;0;
516;16;0;Patrick Owomoyela;D;0;0;0;
517;16;9;Hakan Calhanoglu;TUR/D;31;11;6;
518;16;18;Tolgay Arslan;D;31;1;2;
519;16;14;Milan Badelj;CRO;28;1;2;
520;16;23;Rafael van der Vaart;NL;26;7;8;
521;16;8;Thomas Eduardo Rincon;VEN;21;0;0;
522;16;19;Petr Jiracek;CZE;20;1;1;
523;16;11;Ivo Ilicevic;CRO;17;2;0;
524;16;37;Robert Tesche;D;8;0;1;
525;16;6;Ouasim Bouy;NL;3;0;0;
526;16;27;Kerem Demirbay;TUR;3;0;1;
527;16;0;Dennis Aogo;D;2;0;0;
528;16;32;Ville Matti Steinmann;D;0;0;0;
529;16;34;Valmir Nafiu;MKD;0;0;0;
530;16;44;Gojko Kacar;SER;0;0;0;
531;16;31;Jacques Zoua;CMR;27;2;1;
532;16;20;Pierre-Michel Lasogga;D;19;12;1;
533;16;21;Maximilian Beister;D;16;5;5;
534;16;25;Ola John;NL;8;0;0;
535;16;10;Artjoms Rudnevs;LAT;7;0;0;
536;16;0;Mattia Maggio;D;4;0;0;
537;14;1;Raphael Schäfer;D;33;0;0;
538;14;22;Patrick Rakovsky;D;1;0;0;
539;14;32;Benjamin Uphoff;D;0;0;0;
540;14;21;Marvin Plattenhardt;D;31;1;3;
541;14;2;Emanuel Pogatetz;A;23;1;1;
542;14;26;Timothy Chandler;D;21;1;2;
543;14;25;Horacio Javier Pinola;ARG;20;0;0;
544;14;3;Per Nilsson;SWE;19;3;0;
545;14;6;Martin Angha;CH;13;0;0;
546;14;31;Ondrej Petrak;CZE;11;0;0;
547;14;24;Berkay Dabanli;D;5;0;0;
548;14;4;Marcos Antonio;BRA;0;0;0;
549;14;19;Noah Korczowski;D;0;0;0;
